Vancouver Goldeneyes:
8 Izzy Daniel
9 Katie Chan
12 Jenn Gardiner
13 Tereza Vanišová
15 Gabby Rosenthal
18 Malia Schneider
19 Mannon McMahon
20 Sarah Nurse
22 Abby Boreen
33 Michelle Karvinen
34 Hannah Miller
51 Anna Segedi
72 Darcie Lappan
94 Anna Meixner
97 Anna Shokhina
2 Sini Karjalainen
7 Madison Samoskevich
11 Sydney Bard
16 Sophie Jaques
21 Ashton Bell
23 Mellissa Channell-Watkins
28 Nina Jobst-Smith
42 Claire Thompson 
35 Kimberly Newell
38 Emerance Maschmeyer
50 Kristen Campbell

Toronto Sceptres:
9 Daryl Watts
11 Kiara Zanon
13 Anneke Rankila
16 Lauren Messier
18 Jesse Compher
19 Sara Hjalmarsson
20 Emma Gentry
21 Kristin Della Rovere
22 Maggie Connors
24 Natalie Spooner
25 Clara Van Wieren
27 Emma Maltais
40 Blayre Turnbull
42 Claire Dalton
67 Emma Woods
2 Jessica Kondas
6 Kali Flanagan
10 Hannah Baskin
12 Allie Munroe
14 Renata Fast
15 Savannah Harmon
17 Ella Shelton
71 Anna Kjellbin
1 Raygan Kirk
29 Elaine Chuli
91 Jessie McPherson

Seattle Torrent:
7 Lily Delianedis
8 Natalie Snodgrass
10 Jenna Buglioni
13 Mikyla Grant-Mentis
17 Brooke Bryant
19 Hannah Bilka
21 Hilary Knight
25 Alex Carpenter
28 Gabrielle David
37 Theresa Schafzahl
52 Jada Habisch
66 Marah Wagner
71 Sydney Langseth
78 Lexie Adzija
88 Julia Gosling
92 Danielle Serdachny
2 Aneta Tejralová
3 Cayla Barnes
5 Anna Wilgren
6 Emily Zumwinkle
11 Emily Brown
20 Mariah Keopple
24 Lyndie Lobdell
27 Megan Carter
30 Corinne Schroeder
70 Carly Jackson
83 Hannah Murphy

Ottawa Charge:
10 Alexa Vasko
14 Olivia Wallin
15 Reece Hunt
16 Kateřina Mrázová
17 Gabbie Hughes
19 Brianne Jenner
22 Taylor House
23 Sarah Wozniewicz
26 Emily Clark
27 Brooke McQuigge
29 Peyton Hemp
37 Rebecca Leslie
71 Fanuza Kadirova
86 Michela Cava 
94 Maggy Burbidge
3 Jocelyne Larocque
5 Rory Guilday
6 Stephanie Markowski
8 Kathryn Reilly
9 Vita Poniatovskaia
11 Brooke Hobson
25 Emma Greco
42 Alexie Guay
88 Ronja Savolainen
1 Sanni Ahola
32 Kaitlyn Ross
33 Gwyneth Philips
70 Kendra Woodland

New York Sirens:
4 Elle Hartje
7 Savannah Norcross
10 Sarah Fillier
17 Taylor Girard 
18 Maddi Wheeler
19 Paetyn Levis
22 Anna Bargman
24 Anne Cherkowski
26 Casey O'Brien
29 Emmy Fecteau
41 Clair DeGeorge
43 Kristin O'Neill
44 Denisa Křǐžová
55 Kira Juodikis
62 Sarah Bujold
81 Kayla Vespa
98 Kristýna Kaltounková
2 Dayle Ross
8 Maja Nylén Persson
9 Olivia Knowles
11 Nicole Vallario
14 Jaime Bourbonnais
16 Lauren Bernard
20 Allyson Simpson
28 Micah Zandee-Hart
37 Callie Shanahan
39 Kaley Doyle
82 Kayle Osborne

Montréal Victoire:
4 Maya Labad
5 Samantha Isbell
7 Laura Stacey
11 Abby Roque
13 Alexandra Labelle
15 Claire Vekich
16 Hayley Scamurra
17 Dara Greig
19 Kaitlin Willoughby
21 Maureen Murphy
25 Lina Ljungblom
27 Shiann Darkangelo
28 Catherine Dubois
29 Marie-Philip Poulin
77 Jade Downie-Landry
88 Skylar Irving
96 Natálie Mlýnková
9 Kati Tabin
12 Tamara Giaquinto
22 Jessica DiGirolamo
23 Erin Ambrose
44 Amanda Boulier
51 Kelly Ann Nadeau
61 Nicole Gosling
91 Maggie Flaherty
93 Nadia Mattivi
1 Megan Warrener
30 Sandra Abstreiter
35 Ann-Renée Desbiens

Minnesota Frost:
6 Katy Knoll
7 Claire Butorac
8 Samantha Cogan
12 Kelly Pannek
13 Grace Zumwinkle
14 Dominique Petrie
16 Kaitlyn O'Donohoe
18 Élizabeth Giguère
24 Vanessa Upson
26 Kendall Coyne Schofield
27 Taylor Heise
71 Klára Hymlárová
74 Abby Hustler
77 Britta Curl-Salemme
91 Peyton Anderson
2 Lee Stecklein
4 Kendall Cooper
5 Sidney Morin
9 Madison Bizal
15 Brooke Becker
17 Ava Rinker
21 Mae Batherson
22 Natalie Buchbinder
33 Jincy Roese
1 Marlène Boissonnault
29 Nicole Hensley
35 Maddie Rooney

Boston Fleet:
9 Sophie Shirley
11 Alina Müller
13 Liz Schepers
15 Olivia Mobley
18 Jessie Eldridge
19 Abby Newhook
20 Hannah Brandt
25 Laura Kluge
26 Ella Huber
27 Shay Maloney
36 Loren Gabel 
44 Jill Saulnier
47 Jamie Lee Rattray
77 Susanna Tapani
3 Zoe Boyd
5 Megan Keller
6 Hadley Hartmetz
7 Mia Biotti
8 Haley Winn
16 Riley Brengman
53 Rylind MacKinnon
55 Daniela Pejšová
73 Olivia Zafuto
81 Noemi Neubauerová
30 Amanda Thiele
31 Aerin Frankel
39 Abbey Levy
